record_id,language_code,language_name,script_note,source,title,pageid,paragraph_index,chars,cyrillic_ratio,vertical_mongolian_ratio,latin_ratio,url,text
60fa8392cace2808,mn,蒙古语,mn.wikipedia.org 主要为西里尔蒙古文，非传统竖排蒙古文,wikipedia_api,Экстрим спорт,10109,0,104,0.7019,0.0,0.1154,https://mn.wikipedia.org/wiki/%D0%AD%D0%BA%D1%81%D1%82%D1%80%D0%B8%D0%BC_%D1%81%D0%BF%D0%BE%D1%80%D1%82,"Экстрим спорт (Англи: Extreme sport) гэдэг нь тэсвэр тэвчээр, эр зориг шаардсан эрсдэлтэй спортыг хэлнэ."
a176392526d44dbe,mn,蒙古语,mn.wikipedia.org 主要为西里尔蒙古文，非传统竖排蒙古文,wikipedia_api,Экстрим спорт,10109,1,64,0.8594,0.0,0.0,https://mn.wikipedia.org/wiki/%D0%AD%D0%BA%D1%81%D1%82%D1%80%D0%B8%D0%BC_%D1%81%D0%BF%D0%BE%D1%80%D1%82,Усан спорт буюу ширүүн урсгалт гол мөрөнд завиар сэлүүрдэх спорт
9897bb4275838b53,mn,蒙古语,mn.wikipedia.org 主要为西里尔蒙古文，非传统竖排蒙古文,wikipedia_api,Баян-Овоо сум (Баянхонгор),5981,0,63,0.7778,0.0,0.0,https://mn.wikipedia.org/wiki/%D0%91%D0%B0%D1%8F%D0%BD-%D0%9E%D0%B2%D0%BE%D0%BE_%D1%81%D1%83%D0%BC_(%D0%91%D0%B0%D1%8F%D0%BD%D1%85%D0%BE%D0%BD%D0%B3%D0%BE%D1%80),Баян-Овоо (байан обуг-а) — Монгол улсын Баянхонгор аймгийн сум.
c18f6044414e5279,mn,蒙古语,mn.wikipedia.org 主要为西里尔蒙古文，非传统竖排蒙古文,wikipedia_api,Баян-Овоо сум (Баянхонгор),5981,1,42,0.6667,0.0,0.0,https://mn.wikipedia.org/wiki/%D0%91%D0%B0%D1%8F%D0%BD-%D0%9E%D0%B2%D0%BE%D0%BE_%D1%81%D1%83%D0%BC_(%D0%91%D0%B0%D1%8F%D0%BD%D1%85%D0%BE%D0%BD%D0%B3%D0%BE%D1%80),"Дэнсмаагийн Дүнгэрдорж (1942-) — эмч, багш"
ba155f7709183e77,mn,蒙古语,mn.wikipedia.org 主要为西里尔蒙古文，非传统竖排蒙古文,wikipedia_api,Буянт-Ухаа олон улсын нисэх буудал,5667,0,362,0.8011,0.0,0.0,https://mn.wikipedia.org/wiki/%D0%91%D1%83%D1%8F%D0%BD%D1%82-%D0%A3%D1%85%D0%B0%D0%B0_%D0%BE%D0%BB%D0%BE%D0%BD_%D1%83%D0%BB%D1%81%D1%8B%D0%BD_%D0%BD%D0%B8%D1%81%D1%8D%D1%85_%D0%B1%D1%83%D1%83%D0%B4%D0%B0%D0%BB,"Буянт-Ухаа олон улсын нисэх буудал (2005 оноос 2020 он хүртэл Чингис хаан олон улсын нисэх буудал нэртэй байсан) нь Монгол Улсын нийслэл Улаанбаатар хотоос баруун урд зүгт 14.7 километрийн зайд Хан-Уул дүүргийн нутаг дэвсгэр Буянт-Ухаад байрладаг нисэх онгоцны буудал юм. Баруунаас зүүн рүү бууж, зүүнээс баруун руу нисэх хатуу хучилттай нислэгийн нэг зурвастай."
64659a9d2a494a3d,mn,蒙古语,mn.wikipedia.org 主要为西里尔蒙古文，非传统竖排蒙古文,wikipedia_api,Буянт-Ухаа олон улсын нисэх буудал,5667,1,238,0.7983,0.0,0.0,https://mn.wikipedia.org/wiki/%D0%91%D1%83%D1%8F%D0%BD%D1%82-%D0%A3%D1%85%D0%B0%D0%B0_%D0%BE%D0%BB%D0%BE%D0%BD_%D1%83%D0%BB%D1%81%D1%8B%D0%BD_%D0%BD%D0%B8%D1%81%D1%8D%D1%85_%D0%B1%D1%83%D1%83%D0%B4%D0%B0%D0%BB,"Тус буудал нь 2020 он хүртэл Монголын хамгийн том нисэх онгоцны буудал байсан бөгөөд 2021 оны 7 сараас ихэнх үйл ажиллагаа зогсож, Сэргэлэн сумын нутаг дэвсгэрт шинээр баригдсан Чингис хаан олон улсын нисэх буудал гол нисэх буудал болжээ."
6c537da27bc2ef73,mn,蒙古语,mn.wikipedia.org 主要为西里尔蒙古文，非传统竖排蒙古文,wikipedia_api,Буянт-Ухаа олон улсын нисэх буудал,5667,2,164,0.8293,0.0,0.0,https://mn.wikipedia.org/wiki/%D0%91%D1%83%D1%8F%D0%BD%D1%82-%D0%A3%D1%85%D0%B0%D0%B0_%D0%BE%D0%BB%D0%BE%D0%BD_%D1%83%D0%BB%D1%81%D1%8B%D0%BD_%D0%BD%D0%B8%D1%81%D1%8D%D1%85_%D0%B1%D1%83%D1%83%D0%B4%D0%B0%D0%BB,"Монголын агаарын тээврийн компаниуд болох Хүннү Эйр, МИАТ, Изинис Эйрвэйз, Аэро Монголиа нь ""Чингис хаан"" олон улсын нисэх онгоцны буудлыг голчлон ашигладаг байсан."
12dec5b4f3677489,mn,蒙古语,mn.wikipedia.org 主要为西里尔蒙古文，非传统竖排蒙古文,wikipedia_api,Буянт-Ухаа олон улсын нисэх буудал,5667,3,175,0.7429,0.0,0.0,https://mn.wikipedia.org/wiki/%D0%91%D1%83%D1%8F%D0%BD%D1%82-%D0%A3%D1%85%D0%B0%D0%B0_%D0%BE%D0%BB%D0%BE%D0%BD_%D1%83%D0%BB%D1%81%D1%8B%D0%BD_%D0%BD%D0%B8%D1%81%D1%8D%D1%85_%D0%B1%D1%83%D1%83%D0%B4%D0%B0%D0%BB,Тус буудал нь Их Монгол Улс байгуулагдсаны 800 жилийн ойг тохиолдуулан 2005 оны 12 сарын 21-нд Чингис хааны нэрээр нэрлэгдсэн ба нэрийг нь шинэ буудал руу 2020 онд шилжүүлжээ.
bbbeec203b7fab57,mn,蒙古语,mn.wikipedia.org 主要为西里尔蒙古文，非传统竖排蒙古文,wikipedia_api,Буянт-Ухаа олон улсын нисэх буудал,5667,4,42,0.9048,0.0,0.0,https://mn.wikipedia.org/wiki/%D0%91%D1%83%D1%8F%D0%BD%D1%82-%D0%A3%D1%85%D0%B0%D0%B0_%D0%BE%D0%BB%D0%BE%D0%BD_%D1%83%D0%BB%D1%81%D1%8B%D0%BD_%D0%BD%D0%B8%D1%81%D1%8D%D1%85_%D0%B1%D1%83%D1%83%D0%B4%D0%B0%D0%BB,Агаарын тээврийн компаниуд болон чиглэлүүд
f7121766c660ebba,mn,蒙古语,mn.wikipedia.org 主要为西里尔蒙古文，非传统竖排蒙古文,wikipedia_api,Буянт-Ухаа олон улсын нисэх буудал,5667,5,235,0.5532,0.0,0.0,https://mn.wikipedia.org/wiki/%D0%91%D1%83%D1%8F%D0%BD%D1%82-%D0%A3%D1%85%D0%B0%D0%B0_%D0%BE%D0%BB%D0%BE%D0%BD_%D1%83%D0%BB%D1%81%D1%8B%D0%BD_%D0%BD%D0%B8%D1%81%D1%8D%D1%85_%D0%B1%D1%83%D1%83%D0%B4%D0%B0%D0%BB,"Хүннү Эйр (Баянхонгор-1.3.5, Даланзадгад-2,4,6, Овоот-7, Тавантолгой-Захиалгат, Мөрөн-1,3,5, Завхан-2,4,6, Улаангом-1,3,5, Ховд-1,3,5, Чойбалсан-1,3,5,6, Алтай-2,4,7, Хайлаар-3,6, Манжуур-1,5, Хонконг-1,3,5, Парис-1,5, Шанхай, Бангкок)"
