record_id,language_code,language_name,script_note,source,title,pageid,paragraph_index,chars,cyrillic_ratio,vertical_mongolian_ratio,latin_ratio,url,text
931461a86f0c0acb,mn,蒙古语,mn.wikipedia.org 主要为西里尔蒙古文，非传统竖排蒙古文,wikipedia_api,(G)I-DLE,75909,0,282,0.656,0.0,0.0887,https://mn.wikipedia.org/wiki/(G)I-DLE,"(G)I-DLE нь 2018 онд Cube Entertainment-ын дор үүсгэн байгуулагдсан Өмнөд Солонгосын охидын хамтлаг юм. Таван гишүүний бүрэлдэхүүнтэй: Миён, Минни, Суён, Үги, Шюхуа. Сүжин 2021 оны 14нд хамтлгаас гарсан. Тэд 2018 оны 5 сарын 2нд I Am нэртэй анхны мини цомгоо гаргаж, дэбютээ хийсэн."
4e064398f92e280d,mn,蒙古语,mn.wikipedia.org 主要为西里尔蒙古文，非传统竖排蒙古文,wikipedia_api,(G)I-DLE,75909,1,432,0.6759,0.0,0.1181,https://mn.wikipedia.org/wiki/(G)I-DLE,"Хамтлагийн гишүүн Soyeon өмнө нь Mnet-н Produce 101 нэвтрүүлэгт оролцож байсан. 5-р дугаар дээр 10-р байранд жагсаж амжилттай явж байсан, гэсэн хэдий ч сүүлийн дугаар дээр 20-р байранд орж, ялагч хамтлагийн нэг хэсэг болох боломжгүй болсон юм. Soyeon мөн Unpretty Rapstar өрсөлдөөнт реалити шоуны 3-р улиралд оролцож, 3-р байранд жагссан. Дараа нь тэрээр соло дуучнаар дэбютээ хийж, хоёр дижитал дуу гаргасан: Jelly болон Idle Song."
26515a4e3bbd3706,mn,蒙古语,mn.wikipedia.org 主要为西里尔蒙古文，非传统竖排蒙古文,wikipedia_api,(G)I-DLE,75909,2,143,0.5524,0.0,0.2238,https://mn.wikipedia.org/wiki/(G)I-DLE,Miyeon 2010 оноос 2015 оны хооронд YG Entertainment-ын бэлтгэгч байсан. BLACKPINK-д дэбют хийх ёстой байсан ч хувийн шалтгаанаар YG-аас гарсан.
91c3a2ec1f6eccf3,mn,蒙古语,mn.wikipedia.org 主要为西里尔蒙古文，非传统竖排蒙古文,wikipedia_api,(G)I-DLE,75909,3,355,0.7211,0.0,0.107,https://mn.wikipedia.org/wiki/(G)I-DLE,Харин Soojin 2015 онд DN Entertainment-ын бэлтгэгчээр суралцаж байсан. Тэрээр VIVIDIVA нэртэй хамтлагт дэбютээ хийхээр бэлтгэж байсан ч хамтлагийн албан ёсны дэбютийн өмнөхөн хамтлагаас гарсан юм. Түүний тайзны нэр N.Na байсан. Мөн Soojin нь 2021 онд түүнийг дунд сургуульдаа хүүхдүүдийг дээрэлхэдэг байсан гэх хуурамч гүтгэлтээс болж хамтлагаасаа гарсан.
6ad2eb4eac463b39,mn,蒙古语,mn.wikipedia.org 主要为西里尔蒙古文，非传统竖排蒙古文,wikipedia_api,(G)I-DLE,75909,4,432,0.4676,0.0,0.287,https://mn.wikipedia.org/wiki/(G)I-DLE,"Minnie, Yuqi болон Shuhua нар 2017 оны 6 сард Rising Star Cosmetic-ын зар сурталчилгааны бичлэгт тоглосон ба дараа нь Shuhua 2017 оны 9сард 10cm-ын Pet дууны MVд тоглосон байна. Харин Minnie 2017 оны 11сард гарсан Line Friends-ын Dance Party цомогт оролцсон. 2018 оны 2сараас 2018 оны 3сарын хооронд Miyeon, Minnie хоёр Dingo Music Youtube Channel-д 4 ковер бичлэг хийсэн, Yuqi мөн Dingo Music-т богино видео оруулж танилцуулагдсан."
eb792c8926b8b507,mn,蒙古语,mn.wikipedia.org 主要为西里尔蒙古文，非传统竖排蒙古文,wikipedia_api,(G)I-DLE,75909,5,340,0.5794,0.0,0.1647,https://mn.wikipedia.org/wiki/(G)I-DLE,"2018 оны 3 сарын 22нд Cube Entertainment-аас 2018 оны эхний хагаст шинэ охидын хамтлаг гаргана гэж зарлаж, 4 сарын 5нд нь хамтлагийн лого болон (G)I-DLE гэсэн нэрийг танилцуулсан байна. Удалгүй 4 сарын 8нд эхний хоёр гишүүн болох Miyeon, Yuqi нарыг, 4 сарын 10нд Soojin, Shuhua нарыг, 4 сарын 12нд Minnie, Soyeon нарыг тус тус танилцуулсан."
19cdf121fe4df36b,mn,蒙古语,mn.wikipedia.org 主要为西里尔蒙古文，非传统竖排蒙古文,wikipedia_api,(G)I-DLE,75909,6,404,0.604,0.0,0.198,https://mn.wikipedia.org/wiki/(G)I-DLE,"5 сарын 2нд албан ёсоор I Am нэртэй дэбют мини цомгоо гол дуу LATATA-н хамт гаргаж дэбютээ хийсэн байна. Дараа өдөр нь Mnet-ын M!Countdown хөгжмийн нэвтрүүлэгт өөрсдийн анхны дэбют үзүүлбэрээ үзүүлсэн. Тэдний LATATA MV нь гарсанаас хоёр өдрийн дотор 2,2 сая хандалт авсан. Мини-альбом нь Gaon Albums Chart-дээр 13аар байр эзэлсэн. Мөн тэд Korea Brand Awards дээр Best New Female Group гэх шагнал хүртсэн."
9dd6cc2cf277914f,mn,蒙古语,mn.wikipedia.org 主要为西里尔蒙古文，非传统竖排蒙古文,wikipedia_api,(G)I-DLE,75909,7,278,0.6511,0.0,0.1331,https://mn.wikipedia.org/wiki/(G)I-DLE,"5р сарын 14нд анхны эргэн ирэлтээ <Hann> цомогтой хийж 24 цагийн дотор гол дууны видео бичлэг Youtube-дээр 4,9 сая хандалт авсан. Тус миницомог нь солонгосын хөгжмийн чартуудийг тэргүүлж мөн Billboardийн 2р байрт жагссан. 9 сард (G)I-DLE KCON Thailand анхны удаа оролцож байсан."
2c2db8774da59f12,mn,蒙古语,mn.wikipedia.org 主要为西里尔蒙古文，非传统竖排蒙古文,wikipedia_api,(G)I-DLE,75909,8,45,0.0,0.0,0.7111,https://mn.wikipedia.org/wiki/(G)I-DLE,Daum Cafe - http://cafe.daum.net/cube-g-i-dle
37c1328bae57a9fb,mn,蒙古语,mn.wikipedia.org 主要为西里尔蒙古文，非传统竖排蒙古文,wikipedia_api,(G)I-DLE,75909,9,48,0.0,0.0,0.75,https://mn.wikipedia.org/wiki/(G)I-DLE,Facebook - https://www.facebook.com/G.I.DLE.CUBE
258388d33fadc682,mn,蒙古语,mn.wikipedia.org 主要为西里尔蒙古文，非传统竖排蒙古文,wikipedia_api,(G)I-DLE,75909,10,55,0.0,0.0,0.7636,https://mn.wikipedia.org/wiki/(G)I-DLE,Instagram - https://www.instagram.com/official_g_i_dle/
