record_id,language_code,language_name,source_name,title,url,char_count,zhuang_ratio
za_wikipedia_00001,za,壮语,Zhuang Wikipedia,101,https://za.wikipedia.org/wiki/101,81,0.8574
za_wikipedia_00002,za,壮语,Zhuang Wikipedia,102,https://za.wikipedia.org/wiki/102,91,0.861
za_wikipedia_00003,za,壮语,Zhuang Wikipedia,103,https://za.wikipedia.org/wiki/103,93,0.864
za_wikipedia_00004,za,壮语,Zhuang Wikipedia,104,https://za.wikipedia.org/wiki/104,91,0.861
za_wikipedia_00005,za,壮语,Zhuang Wikipedia,105,https://za.wikipedia.org/wiki/105,92,0.8625
za_wikipedia_00006,za,壮语,Zhuang Wikipedia,106,https://za.wikipedia.org/wiki/106,92,0.8625
za_wikipedia_00007,za,壮语,Zhuang Wikipedia,107,https://za.wikipedia.org/wiki/107,92,0.8625
za_wikipedia_00008,za,壮语,Zhuang Wikipedia,108,https://za.wikipedia.org/wiki/108,92,0.8625
za_wikipedia_00009,za,壮语,Zhuang Wikipedia,109,https://za.wikipedia.org/wiki/109,88,0.8563
za_wikipedia_00010,za,壮语,Zhuang Wikipedia,10 nyied 10 hauh,https://za.wikipedia.org/wiki/10_nyied_10_hauh,174,0.8483
za_wikipedia_00011,za,壮语,Zhuang Wikipedia,10 nyied 11 hauh,https://za.wikipedia.org/wiki/10_nyied_11_hauh,137,0.8354
za_wikipedia_00012,za,壮语,Zhuang Wikipedia,10 nyied 12 hauh,https://za.wikipedia.org/wiki/10_nyied_12_hauh,157,0.8459
za_wikipedia_00013,za,壮语,Zhuang Wikipedia,10 nyied 16 hauh,https://za.wikipedia.org/wiki/10_nyied_16_hauh,161,0.8531
za_wikipedia_00014,za,壮语,Zhuang Wikipedia,10 nyied 17 hauh,https://za.wikipedia.org/wiki/10_nyied_17_hauh,170,0.8544
za_wikipedia_00015,za,壮语,Zhuang Wikipedia,10 nyied 18 hauh,https://za.wikipedia.org/wiki/10_nyied_18_hauh,162,0.8506
za_wikipedia_00016,za,壮语,Zhuang Wikipedia,10 nyied 19 hauh,https://za.wikipedia.org/wiki/10_nyied_19_hauh,186,0.8226
za_wikipedia_00017,za,壮语,Zhuang Wikipedia,10 nyied 1 hauh,https://za.wikipedia.org/wiki/10_nyied_1_hauh,157,0.8494
za_wikipedia_00018,za,壮语,Zhuang Wikipedia,10 nyied 21 hauh,https://za.wikipedia.org/wiki/10_nyied_21_hauh,137,0.8354
za_wikipedia_00019,za,壮语,Zhuang Wikipedia,10 nyied 25 hauh,https://za.wikipedia.org/wiki/10_nyied_25_hauh,137,0.8354
za_wikipedia_00020,za,壮语,Zhuang Wikipedia,10 nyied 28 hauh,https://za.wikipedia.org/wiki/10_nyied_28_hauh,160,0.8488
za_wikipedia_00021,za,壮语,Zhuang Wikipedia,10 nyied 29 hauh,https://za.wikipedia.org/wiki/10_nyied_29_hauh,155,0.8439
za_wikipedia_00022,za,壮语,Zhuang Wikipedia,12 nyied 21 hauh,https://za.wikipedia.org/wiki/12_nyied_21_hauh,162,0.8302
za_wikipedia_00023,za,壮语,Zhuang Wikipedia,12 nyied 22 hauh,https://za.wikipedia.org/wiki/12_nyied_22_hauh,136,0.8382
za_wikipedia_00024,za,壮语,Zhuang Wikipedia,12 nyied 23 hauh,https://za.wikipedia.org/wiki/12_nyied_23_hauh,156,0.8308
za_wikipedia_00025,za,壮语,Zhuang Wikipedia,12 nyied 24 hauh,https://za.wikipedia.org/wiki/12_nyied_24_hauh,159,0.8513
za_wikipedia_00026,za,壮语,Zhuang Wikipedia,12 nyied 25 hauh,https://za.wikipedia.org/wiki/12_nyied_25_hauh,160,0.8522
za_wikipedia_00027,za,壮语,Zhuang Wikipedia,12 nyied 26 hauh,https://za.wikipedia.org/wiki/12_nyied_26_hauh,184,0.8236
